ts,src_ip,dst_ip,src_port,dst_port,protocol,size
1781214754,192.168.1.50,8.8.8.8,,,ICMP,84
1781214754.03,8.8.8.8,192.168.1.50,,,ICMP,84
1781214754.45,13.226.2.10,192.168.1.50,443,50489,TCP,1036
1781214754.5,192.168.1.50,8.8.8.8,62290,53,UDP,66
1781214754.52,8.8.8.8,192.168.1.50,53,42874,UDP,256
1781214754.6,192.168.1.50,13.226.2.10,54704,6199,TCP,292
1781214754.85,192.168.1.50,151.101.1.69,41538,443,TCP,149
1781214754.9,104.18.32.7,192.168.1.50,443,58000,TCP,902
1781214755.05,151.101.1.69,192.168.1.50,443,53087,TCP,1314
1781214755.15,151.101.1.69,192.168.1.50,443,41307,TCP,980
1781214755.2,192.168.1.50,142.250.79.14,62549,443,TCP,159
1781214755.6,13.226.2.10,192.168.1.50,443,40491,TCP,945
1781214755.65,192.168.1.50,151.101.1.69,53080,443,TCP,358
1781214756,104.18.32.7,192.168.1.50,443,44310,TCP,1114
1781214756.05,192.168.1.50,142.250.79.14,57367,443,TCP,249
1781214756.2,151.101.1.69,192.168.1.50,19053,14675,UDP,230
1781214756.25,104.18.32.7,192.168.1.50,443,47470,TCP,1148
1781214756.65,142.250.79.14,192.168.1.50,443,41246,TCP,1012
1781214756.8,192.168.1.50,142.250.79.14,64086,443,TCP,341
1781214757.4,104.18.32.7,192.168.1.50,443,61956,TCP,1110
1781214757.7,104.18.32.7,192.168.1.50,443,51475,TCP,1395
1781214757.8,13.226.2.10,192.168.1.50,443,49977,TCP,1326
1781214758.1,104.18.32.7,192.168.1.50,443,52657,TCP,1109
1781214758.2,192.168.1.50,142.250.79.14,50976,443,TCP,228
1781214758.3,151.101.1.69,192.168.1.50,443,63176,TCP,860
1781214758.65,192.168.1.50,151.101.1.69,59258,443,TCP,352
1781214758.7,13.226.2.10,192.168.1.50,443,61423,TCP,1191
1781214758.8,13.226.2.10,192.168.1.50,443,50669,TCP,900
1781214759,142.250.79.14,192.168.1.50,443,54705,TCP,1454
1781214759.05,151.101.1.69,192.168.1.50,16683,25051,UDP,481
1781214759.15,192.168.1.50,13.226.2.10,59742,443,TCP,253
1781214759.2,192.168.1.50,151.101.1.69,52083,443,TCP,134
1781214759.3,13.226.2.10,192.168.1.50,443,42881,TCP,1354
1781214759.35,192.168.1.50,13.226.2.10,62600,443,TCP,279
1781214759.5,192.168.1.50,151.101.1.69,63664,443,TCP,213
1781214759.55,104.18.32.7,192.168.1.50,443,59280,TCP,1289
1781214759.6,104.18.32.7,192.168.1.50,443,51553,TCP,1004
1781214759.65,192.168.1.50,151.101.1.69,53624,443,TCP,122
1781214760,104.18.32.7,192.168.1.50,443,62416,TCP,1307
1781214760,192.168.1.50,8.8.8.8,,,ICMP,84
1781214760.03,8.8.8.8,192.168.1.50,,,ICMP,84
1781214760.05,142.250.79.14,192.168.1.50,443,43441,TCP,1433
1781214760.2,192.168.1.50,142.250.79.14,42842,3640,TCP,714
1781214760.35,142.250.79.14,192.168.1.50,443,59943,TCP,1099
1781214760.4,192.168.1.50,151.101.1.69,55445,443,TCP,176
1781214760.55,192.168.1.50,104.18.32.7,52228,443,TCP,214
1781214760.6,192.168.1.50,13.226.2.10,50875,443,TCP,219
1781214760.65,13.226.2.10,192.168.1.50,443,54259,TCP,1170
1781214760.65,192.168.1.50,8.8.8.8,64821,53,UDP,114
1781214760.67,8.8.8.8,192.168.1.50,53,41161,UDP,169
1781214760.75,192.168.1.50,151.101.1.69,64752,443,TCP,287
1781214760.9,192.168.1.50,8.8.8.8,57813,53,UDP,102
1781214760.92,8.8.8.8,192.168.1.50,53,47072,UDP,123
1781214760.95,192.168.1.50,151.101.1.69,42385,443,TCP,158
1781214761.25,104.18.32.7,192.168.1.50,443,54052,TCP,908
1781214761.55,192.168.1.50,8.8.8.8,60190,53,UDP,61
1781214761.57,8.8.8.8,192.168.1.50,53,51582,UDP,272
1781214761.65,192.168.1.50,13.226.2.10,57991,443,TCP,165
1781214761.8,192.168.1.50,142.250.79.14,46752,443,TCP,215
1781214761.85,142.250.79.14,192.168.1.50,443,55570,TCP,1079
1781214761.9,104.18.32.7,192.168.1.50,443,56747,TCP,1333
1781214761.95,104.18.32.7,192.168.1.50,443,44220,TCP,1248
1781214762,192.168.1.50,13.226.2.10,50572,7217,TCP,891
1781214762.05,104.18.32.7,192.168.1.50,443,56132,TCP,1081
1781214762.1,13.226.2.10,192.168.1.50,443,56075,TCP,958
1781214762.15,192.168.1.50,104.18.32.7,48557,443,TCP,163
1781214762.25,151.101.1.69,192.168.1.50,443,51732,TCP,933
1781214762.3,104.18.32.7,192.168.1.50,443,55158,TCP,1128
1781214762.4,192.168.1.50,8.8.8.8,45579,53,UDP,62
1781214762.42,8.8.8.8,192.168.1.50,53,62162,UDP,189
1781214762.5,192.168.1.50,151.101.1.69,46334,443,TCP,368
1781214762.85,13.226.2.10,192.168.1.50,443,50418,TCP,1385
1781214762.9,142.250.79.14,192.168.1.50,443,50780,TCP,1119
1781214763.35,142.250.79.14,192.168.1.50,443,60241,TCP,1446
1781214763.6,104.18.32.7,192.168.1.50,443,40962,TCP,1276
1781214763.8,192.168.1.50,142.250.79.14,60021,80,TCP,595
1781214763.85,192.168.1.50,151.101.1.69,51334,443,TCP,288
1781214763.9,192.168.1.50,142.250.79.14,50341,4024,TCP,678
1781214764,151.101.1.69,192.168.1.50,443,40350,TCP,1318
1781214764,192.168.1.50,104.18.32.7,58280,80,TCP,711
1781214764.45,192.168.1.50,151.101.1.69,41137,443,TCP,80
1781214764.85,13.226.2.10,192.168.1.50,21343,25974,UDP,427
1781214765,151.101.1.69,192.168.1.50,443,43110,TCP,1179
1781214765.3,192.168.1.50,151.101.1.69,57340,6619,TCP,649
1781214765.35,151.101.1.69,192.168.1.50,443,60084,TCP,1162
1781214765.4,192.168.1.50,142.250.79.14,54619,443,TCP,189
1781214765.45,192.168.1.50,104.18.32.7,50430,443,TCP,237
1781214765.6,104.18.32.7,192.168.1.50,443,50908,TCP,1147
1781214766,192.168.1.50,8.8.8.8,,,ICMP,84
1781214766.03,8.8.8.8,192.168.1.50,,,ICMP,84
1781214766.05,151.101.1.69,192.168.1.50,26834,29193,UDP,433
1781214766.2,142.250.79.14,192.168.1.50,443,46986,TCP,1486
1781214766.25,151.101.1.69,192.168.1.50,443,55403,TCP,983
1781214766.25,192.168.1.50,151.101.1.69,61504,6489,TCP,871
1781214766.35,142.250.79.14,192.168.1.50,443,64531,TCP,992
1781214766.75,142.250.79.14,192.168.1.50,443,44158,TCP,888
1781214766.85,142.250.79.14,192.168.1.50,443,51855,TCP,949
1781214766.9,192.168.1.50,104.18.32.7,51739,80,TCP,293
1781214766.95,192.168.1.50,142.250.79.14,49858,443,TCP,235
1781214767,151.101.1.69,192.168.1.50,443,58940,TCP,936
1781214767.1,13.226.2.10,192.168.1.50,28314,28851,UDP,301
1781214767.35,192.168.1.50,151.101.1.69,40811,443,TCP,193
1781214767.4,192.168.1.50,13.226.2.10,52865,443,TCP,185
1781214767.45,192.168.1.50,8.8.8.8,45779,53,UDP,74
1781214767.47,8.8.8.8,192.168.1.50,53,49428,UDP,348
1781214767.75,192.168.1.50,104.18.32.7,43326,443,TCP,113
1781214767.8,192.168.1.50,8.8.8.8,62300,53,UDP,79
1781214767.82,8.8.8.8,192.168.1.50,53,61195,UDP,237
1781214767.85,104.18.32.7,192.168.1.50,443,50491,TCP,846
1781214767.9,192.168.1.50,13.226.2.10,57792,6869,TCP,161
1781214767.95,142.250.79.14,192.168.1.50,13330,20757,UDP,265
1781214768,192.168.1.50,8.8.8.8,53709,53,UDP,83
1781214768.02,8.8.8.8,192.168.1.50,53,61249,UDP,229
1781214768.55,104.18.32.7,192.168.1.50,443,56088,TCP,881
1781214768.65,142.250.79.14,192.168.1.50,443,57813,TCP,1218
1781214768.7,192.168.1.50,151.101.1.69,60149,443,TCP,195
1781214768.85,192.168.1.50,142.250.79.14,57994,80,TCP,759
1781214769.05,104.18.32.7,192.168.1.50,443,58073,TCP,1188
1781214769.15,192.168.1.50,151.101.1.69,62662,443,TCP,384
1781214769.4,192.168.1.50,151.101.1.69,53551,443,TCP,125
1781214769.4,104.18.32.7,192.168.1.50,21886,24965,UDP,302
1781214769.5,192.168.1.50,13.226.2.10,62030,443,TCP,389
1781214769.6,142.250.79.14,192.168.1.50,443,47688,TCP,1319
1781214769.85,192.168.1.50,142.250.79.14,51194,443,TCP,211
1781214769.95,192.168.1.50,104.18.32.7,59097,443,TCP,275
1781214770,192.168.1.50,8.8.8.8,50567,53,UDP,100
1781214770.02,8.8.8.8,192.168.1.50,53,54137,UDP,183
1781214770.15,192.168.1.50,8.8.8.8,63690,53,UDP,99
1781214770.17,8.8.8.8,192.168.1.50,53,57791,UDP,187
1781214770.25,192.168.1.50,142.250.79.14,60194,443,TCP,288
1781214770.3,192.168.1.50,142.250.79.14,46653,443,TCP,183
1781214770.35,192.168.1.50,151.101.1.69,59984,443,TCP,374
1781214770.6,192.168.1.50,151.101.1.69,64112,443,TCP,194
1781214771,192.168.1.50,151.101.1.69,40589,443,TCP,394
1781214771,192.168.1.50,192.168.1.1,,,ARP,42
1781214771.05,13.226.2.10,192.168.1.50,443,41840,TCP,1124
1781214771.1,13.226.2.10,192.168.1.50,443,52044,TCP,1340
1781214771.15,151.101.1.69,192.168.1.50,443,45710,TCP,1450
1781214771.2,142.250.79.14,192.168.1.50,443,46886,TCP,1351
1781214771.25,142.250.79.14,192.168.1.50,443,61190,TCP,1438
1781214771.3,192.168.1.50,151.101.1.69,44224,443,TCP,348
1781214771.35,192.168.1.50,151.101.1.69,61550,443,TCP,368
1781214771.4,151.101.1.69,192.168.1.50,443,43934,TCP,1443
1781214771.4,151.101.1.69,192.168.1.50,26403,12483,UDP,342
1781214771.45,192.168.1.50,104.18.32.7,64731,443,TCP,174
1781214771.5,142.250.79.14,192.168.1.50,443,50966,TCP,1426
1781214771.55,104.18.32.7,192.168.1.50,443,49501,TCP,1294
1781214771.55,192.168.1.50,13.226.2.10,41295,80,TCP,552
1781214771.6,142.250.79.14,192.168.1.50,443,51417,TCP,1151
1781214771.65,151.101.1.69,192.168.1.50,443,42296,TCP,1182
1781214771.7,104.18.32.7,192.168.1.50,443,53781,TCP,1097
1781214771.75,192.168.1.50,104.18.32.7,49634,443,TCP,125
1781214771.8,151.101.1.69,192.168.1.50,443,52278,TCP,924
1781214771.85,192.168.1.50,151.101.1.69,42905,443,TCP,280
1781214771.9,192.168.1.50,142.250.79.14,42520,443,TCP,389
1781214771.95,192.168.1.50,13.226.2.10,47153,443,TCP,364
1781214772,104.18.32.7,192.168.1.50,443,60799,TCP,1079
1781214772,192.168.1.50,8.8.8.8,42023,53,UDP,114
1781214772,192.168.1.50,8.8.8.8,,,ICMP,84
1781214772.02,8.8.8.8,192.168.1.50,53,63483,UDP,309
1781214772.03,8.8.8.8,192.168.1.50,,,ICMP,84
1781214772.05,142.250.79.14,192.168.1.50,443,50262,TCP,814
1781214772.1,104.18.32.7,192.168.1.50,443,43822,TCP,1047
1781214772.15,13.226.2.10,192.168.1.50,443,58427,TCP,1247
1781214772.2,13.226.2.10,192.168.1.50,443,55842,TCP,1021
1781214772.25,104.18.32.7,192.168.1.50,443,40110,TCP,1028
1781214772.3,192.168.1.50,151.101.1.69,49782,443,TCP,315
1781214772.35,142.250.79.14,192.168.1.50,443,49656,TCP,1461
1781214772.4,13.226.2.10,192.168.1.50,443,57476,TCP,1198
1781214772.45,192.168.1.50,104.18.32.7,48027,443,TCP,393
1781214772.45,192.168.1.50,8.8.8.8,47735,53,UDP,108
1781214772.47,8.8.8.8,192.168.1.50,53,53267,UDP,261
1781214772.5,104.18.32.7,192.168.1.50,443,61034,TCP,1027
1781214772.55,13.226.2.10,192.168.1.50,443,56739,TCP,1128
1781214772.55,192.168.1.50,8.8.8.8,47621,53,UDP,67
1781214772.57,8.8.8.8,192.168.1.50,53,62894,UDP,330
1781214772.6,142.250.79.14,192.168.1.50,443,40005,TCP,1029
1781214772.65,192.168.1.50,142.250.79.14,47899,443,TCP,213
1781214772.7,104.18.32.7,192.168.1.50,443,49663,TCP,901
1781214772.75,192.168.1.50,104.18.32.7,63519,443,TCP,194
1781214772.8,13.226.2.10,192.168.1.50,443,53373,TCP,1442
1781214772.85,142.250.79.14,192.168.1.50,443,55042,TCP,1390
1781214772.9,192.168.1.50,13.226.2.10,41418,443,TCP,379
1781214772.95,151.101.1.69,192.168.1.50,443,49632,TCP,982
1781214773,104.18.32.7,192.168.1.50,443,53472,TCP,1379
1781214773,192.168.1.50,142.250.79.14,61917,5523,TCP,841
1781214773.05,192.168.1.50,151.101.1.69,45474,443,TCP,398
1781214773.1,13.226.2.10,192.168.1.50,443,42348,TCP,886
1781214773.15,104.18.32.7,192.168.1.50,443,56775,TCP,952
1781214773.2,142.250.79.14,192.168.1.50,443,55869,TCP,871
1781214773.2,192.168.1.50,8.8.8.8,50144,53,UDP,71
1781214773.22,8.8.8.8,192.168.1.50,53,46338,UDP,347
1781214773.25,192.168.1.50,151.101.1.69,57399,443,TCP,320
1781214773.3,192.168.1.50,13.226.2.10,43836,443,TCP,237
1781214773.35,151.101.1.69,192.168.1.50,443,59908,TCP,1349
1781214773.35,192.168.1.50,8.8.8.8,61612,53,UDP,95
1781214773.37,8.8.8.8,192.168.1.50,53,44229,UDP,132
1781214773.4,192.168.1.50,104.18.32.7,49370,443,TCP,266
1781214773.45,192.168.1.50,151.101.1.69,55604,443,TCP,98
1781214773.5,151.101.1.69,192.168.1.50,443,46622,TCP,832
1781214773.55,192.168.1.50,13.226.2.10,49170,443,TCP,120
1781214773.6,151.101.1.69,192.168.1.50,443,59632,TCP,1456
1781214773.65,151.101.1.69,192.168.1.50,443,52619,TCP,1208
1781214773.7,142.250.79.14,192.168.1.50,443,55989,TCP,1494
1781214773.75,151.101.1.69,192.168.1.50,443,57580,TCP,827
1781214773.8,151.101.1.69,192.168.1.50,443,64987,TCP,1384
1781214773.85,142.250.79.14,192.168.1.50,443,50342,TCP,1341
1781214773.9,192.168.1.50,13.226.2.10,49942,443,TCP,263
1781214773.95,192.168.1.50,151.101.1.69,47864,443,TCP,198
1781214774,104.18.32.7,192.168.1.50,443,61917,TCP,1256
1781214774.05,151.101.1.69,192.168.1.50,443,62308,TCP,1483
1781214774.1,142.250.79.14,192.168.1.50,443,64600,TCP,1268
1781214774.15,151.101.1.69,192.168.1.50,443,62288,TCP,1116
1781214774.2,192.168.1.50,104.18.32.7,56388,443,TCP,103
1781214774.25,13.226.2.10,192.168.1.50,443,55845,TCP,998
1781214774.3,192.168.1.50,104.18.32.7,44956,443,TCP,109
1781214774.35,192.168.1.50,104.18.32.7,50842,443,TCP,242
1781214774.4,104.18.32.7,192.168.1.50,443,41487,TCP,949
1781214774.45,192.168.1.50,142.250.79.14,42459,443,TCP,385
1781214774.5,192.168.1.50,151.101.1.69,62212,443,TCP,309
1781214774.55,142.250.79.14,192.168.1.50,443,51704,TCP,1344
1781214774.6,151.101.1.69,192.168.1.50,443,41435,TCP,895
1781214774.65,142.250.79.14,192.168.1.50,443,48980,TCP,1190
1781214774.7,192.168.1.50,142.250.79.14,57062,443,TCP,253
1781214774.75,142.250.79.14,192.168.1.50,443,59361,TCP,1341
1781214774.8,151.101.1.69,192.168.1.50,443,60347,TCP,803
1781214774.85,192.168.1.50,142.250.79.14,40639,443,TCP,388
1781214774.9,192.168.1.50,142.250.79.14,63879,443,TCP,358
1781214774.95,151.101.1.69,192.168.1.50,443,42603,TCP,1486
1781214775,104.18.32.7,192.168.1.50,443,57186,TCP,1468
1781214775.05,192.168.1.50,142.250.79.14,42393,443,TCP,157
1781214775.1,13.226.2.10,192.168.1.50,443,48935,TCP,943
1781214775.15,151.101.1.69,192.168.1.50,443,54367,TCP,1022
1781214775.15,192.168.1.50,13.226.2.10,60133,80,TCP,681
1781214775.2,142.250.79.14,192.168.1.50,443,62851,TCP,806
1781214775.25,142.250.79.14,192.168.1.50,443,64646,TCP,1026
1781214775.3,192.168.1.50,142.250.79.14,63320,443,TCP,218
1781214775.35,192.168.1.50,151.101.1.69,40113,443,TCP,382
1781214775.4,192.168.1.50,142.250.79.14,48126,443,TCP,396
1781214775.45,192.168.1.50,13.226.2.10,48683,443,TCP,174
1781214775.45,192.168.1.50,104.18.32.7,50195,80,TCP,662
1781214775.5,192.168.1.50,142.250.79.14,57729,443,TCP,388
1781214775.55,151.101.1.69,192.168.1.50,443,43287,TCP,1013
1781214775.6,192.168.1.50,104.18.32.7,52102,443,TCP,297
1781214775.65,192.168.1.50,104.18.32.7,52484,443,TCP,117
1781214775.7,192.168.1.50,13.226.2.10,61337,443,TCP,295
1781214775.75,104.18.32.7,192.168.1.50,443,63263,TCP,1140
1781214775.8,192.168.1.50,151.101.1.69,54783,443,TCP,150
1781214775.85,192.168.1.50,151.101.1.69,42804,443,TCP,127
1781214775.9,192.168.1.50,13.226.2.10,50685,443,TCP,146
1781214775.95,13.226.2.10,192.168.1.50,443,42237,TCP,1297
1781214776,192.168.1.50,151.101.1.69,61281,443,TCP,390
1781214776.05,151.101.1.69,192.168.1.50,443,47787,TCP,1000
1781214776.1,192.168.1.50,104.18.32.7,40958,443,TCP,146
1781214776.15,13.226.2.10,192.168.1.50,443,53084,TCP,971
1781214776.2,192.168.1.50,13.226.2.10,55942,443,TCP,86
1781214776.25,104.18.32.7,192.168.1.50,443,55845,TCP,1319
1781214776.3,192.168.1.50,142.250.79.14,55728,443,TCP,124
1781214776.35,192.168.1.50,151.101.1.69,53824,443,TCP,354
1781214776.35,192.168.1.50,104.18.32.7,63268,8775,TCP,190
1781214776.4,13.226.2.10,192.168.1.50,443,60444,TCP,812
1781214776.45,142.250.79.14,192.168.1.50,443,52166,TCP,1195
1781214776.5,104.18.32.7,192.168.1.50,443,40223,TCP,1259
1781214776.5,192.168.1.50,8.8.8.8,45188,53,UDP,87
1781214776.52,8.8.8.8,192.168.1.50,53,64522,UDP,319
1781214776.55,142.250.79.14,192.168.1.50,443,40341,TCP,1038
1781214776.6,192.168.1.50,104.18.32.7,52869,443,TCP,266
1781214776.65,13.226.2.10,192.168.1.50,443,55366,TCP,1426
1781214776.7,142.250.79.14,192.168.1.50,443,40781,TCP,1081
1781214776.75,192.168.1.50,13.226.2.10,55308,443,TCP,313
1781214776.8,192.168.1.50,13.226.2.10,45088,443,TCP,386
1781214776.85,192.168.1.50,13.226.2.10,53292,443,TCP,95
1781214776.9,13.226.2.10,192.168.1.50,443,63278,TCP,933
1781214776.95,104.18.32.7,192.168.1.50,443,40362,TCP,969
1781214777,142.250.79.14,192.168.1.50,443,58057,TCP,1106
1781214777.05,192.168.1.50,13.226.2.10,60752,443,TCP,162
1781214777.1,192.168.1.50,104.18.32.7,63905,443,TCP,335
1781214777.15,13.226.2.10,192.168.1.50,443,40331,TCP,1157
1781214777.15,192.168.1.50,8.8.8.8,41972,53,UDP,60
1781214777.17,8.8.8.8,192.168.1.50,53,50102,UDP,161
1781214777.2,192.168.1.50,142.250.79.14,40340,443,TCP,251
1781214777.25,151.101.1.69,192.168.1.50,443,54394,TCP,939
1781214777.3,192.168.1.50,104.18.32.7,52704,443,TCP,163
1781214777.35,192.168.1.50,104.18.32.7,61533,443,TCP,140
1781214777.4,151.101.1.69,192.168.1.50,443,47825,TCP,857
1781214777.45,192.168.1.50,142.250.79.14,44600,443,TCP,223
1781214777.5,104.18.32.7,192.168.1.50,443,52232,TCP,1364
1781214777.55,192.168.1.50,104.18.32.7,50630,443,TCP,244
1781214777.55,151.101.1.69,192.168.1.50,19225,16691,UDP,441
1781214777.6,104.18.32.7,192.168.1.50,443,61704,TCP,1014
1781214777.65,13.226.2.10,192.168.1.50,443,59288,TCP,1029
1781214777.7,104.18.32.7,192.168.1.50,443,42106,TCP,986
1781214777.75,142.250.79.14,192.168.1.50,443,49160,TCP,1477
1781214777.8,142.250.79.14,192.168.1.50,443,52017,TCP,1127
1781214777.85,192.168.1.50,151.101.1.69,58384,443,TCP,84
1781214777.9,192.168.1.50,13.226.2.10,49892,443,TCP,349
1781214777.95,13.226.2.10,192.168.1.50,443,59590,TCP,1255
1781214778,192.168.1.50,13.226.2.10,59902,443,TCP,382
1781214778,192.168.1.50,8.8.8.8,,,ICMP,84
1781214778.03,8.8.8.8,192.168.1.50,,,ICMP,84
1781214778.05,192.168.1.50,151.101.1.69,60884,443,TCP,284
1781214778.1,192.168.1.50,13.226.2.10,49742,443,TCP,342
1781214778.15,192.168.1.50,104.18.32.7,62287,443,TCP,325
1781214778.2,104.18.32.7,192.168.1.50,443,49336,TCP,1094
1781214778.25,192.168.1.50,142.250.79.14,50285,443,TCP,372
1781214778.3,192.168.1.50,151.101.1.69,48957,443,TCP,115
1781214778.35,142.250.79.14,192.168.1.50,443,64096,TCP,1002
1781214778.4,192.168.1.50,142.250.79.14,41690,443,TCP,398
1781214778.45,13.226.2.10,192.168.1.50,443,64026,TCP,1334
1781214778.5,192.168.1.50,142.250.79.14,41935,443,TCP,289
1781214778.55,142.250.79.14,192.168.1.50,443,63112,TCP,1086
1781214778.6,192.168.1.50,142.250.79.14,43273,443,TCP,231
1781214778.65,192.168.1.50,142.250.79.14,47991,443,TCP,333
1781214778.7,192.168.1.50,104.18.32.7,40911,443,TCP,145
1781214778.75,192.168.1.50,142.250.79.14,54429,443,TCP,230
1781214778.75,192.168.1.50,142.250.79.14,54291,8583,TCP,882
1781214778.8,104.18.32.7,192.168.1.50,443,42514,TCP,841
1781214778.85,13.226.2.10,192.168.1.50,443,52133,TCP,886
1781214778.9,192.168.1.50,13.226.2.10,43527,443,TCP,327
1781214778.95,192.168.1.50,104.18.32.7,62385,443,TCP,314
1781214779,104.18.32.7,192.168.1.50,443,44597,TCP,1082
1781214779.05,13.226.2.10,192.168.1.50,443,60733,TCP,1176
1781214779.1,192.168.1.50,151.101.1.69,51502,443,TCP,376
1781214779.15,104.18.32.7,192.168.1.50,443,60922,TCP,1053
1781214779.2,104.18.32.7,192.168.1.50,443,57239,TCP,1251
1781214779.25,192.168.1.50,142.250.79.14,44160,443,TCP,269
1781214779.3,13.226.2.10,192.168.1.50,443,46119,TCP,988
1781214779.35,192.168.1.50,151.101.1.69,63258,443,TCP,210
1781214779.4,192.168.1.50,13.226.2.10,53974,443,TCP,175
1781214779.45,13.226.2.10,192.168.1.50,443,40499,TCP,1467
1781214779.5,142.250.79.14,192.168.1.50,443,49363,TCP,1170
1781214779.55,192.168.1.50,142.250.79.14,57678,443,TCP,222
1781214779.6,192.168.1.50,151.101.1.69,55755,443,TCP,342
1781214779.65,104.18.32.7,192.168.1.50,443,47413,TCP,1214
1781214779.7,192.168.1.50,151.101.1.69,49934,443,TCP,195
1781214779.75,192.168.1.50,142.250.79.14,61213,443,TCP,242
1781214779.8,142.250.79.14,192.168.1.50,443,41709,TCP,829
1781214779.85,142.250.79.14,192.168.1.50,443,60836,TCP,850
1781214779.9,151.101.1.69,192.168.1.50,443,47273,TCP,830
1781214779.95,151.101.1.69,192.168.1.50,443,51062,TCP,1364
1781214780,104.18.32.7,192.168.1.50,443,51074,TCP,1059
1781214780.05,13.226.2.10,192.168.1.50,443,50505,TCP,1047
1781214780.1,192.168.1.50,151.101.1.69,64717,443,TCP,288
1781214780.15,142.250.79.14,192.168.1.50,443,46630,TCP,1329
